#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  17400      7.27e-01    6.74e-01      3.43e-02    3.42e-02      2.48e-02    2.30e-02    8.6e-04
  17500      1.11e+00    1.66e+00      2.21e-02    2.16e-02      3.79e-02    5.65e-02    8.6e-04
  17600      1.95e+00    1.69e+00      9.07e-03    8.89e-03      6.65e-02    5.77e-02    8.6e-04
  17700      1.12e+00    1.24e+00      2.16e-02    2.17e-02      3.83e-02    4.23e-02    8.6e-04
  17800      1.35e+00    1.37e+00      2.53e-02    2.55e-02      4.60e-02    4.69e-02    8.6e-04
  17900      7.03e-01    8.70e-01      2.24e-02    2.24e-02      2.40e-02    2.97e-02    8.6e-04
  18000      7.18e-01    9.64e-01      2.63e-02    2.63e-02      2.45e-02    3.29e-02    8.6e-04
  18100      6.31e-01    7.68e-01      3.30e-02    3.29e-02      2.15e-02    2.62e-02    8.6e-04
  18200      1.26e+00    8.44e-01      5.76e-02    5.79e-02      4.29e-02    2.88e-02    8.6e-04
  18300      8.68e-01    7.64e-01      5.63e-03    5.56e-03      2.96e-02    2.61e-02    8.6e-04
  18400      6.77e-01    7.22e-01      6.80e-02    6.78e-02      2.30e-02    2.45e-02    8.6e-04
  18500      1.02e+00    1.57e+00      3.69e-02    3.80e-02      3.47e-02    5.36e-02    8.6e-04
  18600      5.17e-01    3.74e-01      5.70e-02    5.69e-02      1.75e-02    1.26e-02    8.6e-04
  18700      1.15e+00    1.71e+00      3.68e-02    3.64e-02      3.93e-02    5.84e-02    8.6e-04
  18800      1.45e+00    1.75e+00      2.86e-02    2.87e-02      4.94e-02    5.99e-02    8.6e-04
  18900      8.02e-01    8.17e-01      7.80e-02    7.79e-02      2.72e-02    2.78e-02    8.6e-04
  19000      1.10e+00    7.18e-01      5.73e-03    5.94e-03      3.75e-02    2.45e-02    8.6e-04
  19100      1.39e+00    1.46e+00      4.56e-02    4.53e-02      4.76e-02    4.98e-02    8.6e-04
  19200      5.75e-01    8.03e-01      6.58e-02    6.58e-02      1.95e-02    2.73e-02    8.6e-04
  19300      1.24e+00    9.90e-01      3.64e-02    3.67e-02      4.24e-02    3.38e-02    8.6e-04
  19400      4.94e-01    1.09e+00      3.35e-02    3.39e-02      1.68e-02    3.72e-02    8.6e-04
  19500      8.95e-01    5.49e-01      4.50e-03    4.03e-03      3.06e-02    1.88e-02    8.6e-04
  19600      7.65e-01    5.41e-01      5.43e-03    5.58e-03      2.61e-02    1.85e-02    8.6e-04
  19700      1.27e+00    8.40e-01      1.50e-02    1.51e-02      4.33e-02    2.87e-02    8.6e-04
  19800      1.72e+00    1.96e+00      2.77e-02    2.84e-02      5.88e-02    6.68e-02    8.6e-04
  19900      1.41e+00    7.34e-01      5.40e-03    5.16e-03      4.82e-02    2.51e-02    8.6e-04
  20000      1.27e+00    1.54e+00      9.62e-03    9.65e-03      4.44e-02    5.41e-02    8.1e-04
  20100      3.56e-01    6.56e-01      1.13e-02    1.15e-02      1.25e-02    2.30e-02    8.1e-04
  20200      1.67e+00    1.54e+00      4.91e-02    4.84e-02      5.84e-02    5.38e-02    8.1e-04
  20300      1.18e+00    9.51e-01      3.78e-02    3.85e-02      4.14e-02    3.33e-02    8.1e-04
  20400      1.27e+00    8.43e-01      3.41e-02    3.45e-02      4.46e-02    2.95e-02    8.1e-04
  20500      5.60e-01    6.86e-01      8.91e-03    8.91e-03      1.96e-02    2.40e-02    8.1e-04
  20600      1.38e+00    1.22e+00      4.46e-02    4.37e-02      4.81e-02    4.26e-02    8.1e-04
